"Sexo";"Baía da Ilha Grande                               ";"Baixada Litorânea                                 ";"Centro-Sul                                        ";"Médio Paraíba                                     ";"Metropolitana I                                   ";"Metropolitana II                                  ";"Noroeste                                          ";"Norte                                             ";"Serrana                                           ";"Total"
"Feminino  ";"64,6";"87,1";"111,9";"114,5";"112,1";"120,6";"120,2";"75,8";"116,8";"109,1"
"Masculino ";"58,2";"67,1";"86,6";"84,9";"71,9";"83,6";"98,2";"59,1";"86,8";"74,2"
"Total";"61,3";"76,8";"98,9";"99,3";"91,5";"101,7";"108,9";"67,3";"101,5";"91,3"
