"Sexo";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Feminino  ";"45,8";"42,5";"42,5";"40,1";"39,0";"40,6";"40,1";"41,5";"41,6";"43,8";"43,1"
"Masculino ";"39,5";"37,0";"36,1";"34,3";"33,3";"35,7";"36,2";"39,1";"38,0";"42,3";"39,5"
"Total";"42,8";"39,9";"39,5";"37,3";"36,3";"38,2";"38,2";"40,3";"39,9";"43,1";"41,4"
