"Município";"Baía da Ilha Grande                               ";"Baixada Litorânea                                 ";"Centro-Sul                                        ";"Médio Paraíba                                     ";"Metropolitana I                                   ";"Metropolitana II                                  ";"Noroeste                                          ";"Norte                                             ";"Serrana                                           ";"Total"
"Angra dos Reis";"207044,0";"0";"0";"0";"0";"0";"0";"0";"0";"207044,0"
"Aperibé";"0";"0";"0";"0";"0";"0";"11901,0";"0";"0";"11901,0"
"Araruama";"0";"134293,0";"0";"0";"0";"0";"0";"0";"0";"134293,0"
"Areal";"0";"0";"12669,0";"0";"0";"0";"0";"0";"0";"12669,0"
"Armação dos Búzios";"0";"34477,0";"0";"0";"0";"0";"0";"0";"0";"34477,0"
"Arraial do Cabo";"0";"30593,0";"0";"0";"0";"0";"0";"0";"0";"30593,0"
"Barra do Piraí";"0";"0";"0";"100764,0";"0";"0";"0";"0";"0";"100764,0"
"Barra Mansa";"0";"0";"0";"184833,0";"0";"0";"0";"0";"0";"184833,0"
"Belford Roxo";"0";"0";"0";"0";"513118,0";"0";"0";"0";"0";"513118,0"
"Bom Jardim";"0";"0";"0";"0";"0";"0";"0";"0";"27616,0";"27616,0"
"Bom Jesus do Itabapoana";"0";"0";"0";"0";"0";"0";"37203,0";"0";"0";"37203,0"
"Cabo Frio";"0";"230378,0";"0";"0";"0";"0";"0";"0";"0";"230378,0"
"Cachoeiras de Macacu";"0";"0";"0";"0";"0";"0";"0";"0";"59303,0";"59303,0"
"Cambuci";"0";"0";"0";"0";"0";"0";"15514,0";"0";"0";"15514,0"
"Campos dos Goytacazes";"0";"0";"0";"0";"0";"0";"0";"511168,0";"0";"511168,0"
"Cantagalo";"0";"0";"0";"0";"0";"0";"0";"0";"20168,0";"20168,0"
"Carapebus";"0";"0";"0";"0";"0";"0";"0";"16586,0";"0";"16586,0"
"Cardoso Moreira";"0";"0";"0";"0";"0";"0";"12821,0";"0";"0";"12821,0"
"Carmo";"0";"0";"0";"0";"0";"0";"0";"0";"19030,0";"19030,0"
"Casimiro de Abreu";"0";"45041,0";"0";"0";"0";"0";"0";"0";"0";"45041,0"
"Comendador Levy Gasparian";"0";"0";"8576,0";"0";"0";"0";"0";"0";"0";"8576,0"
"Conceição de Macabu";"0";"0";"0";"0";"0";"0";"0";"23398,0";"0";"23398,0"
"Cordeiro";"0";"0";"0";"0";"0";"0";"0";"0";"22041,0";"22041,0"
"Duas Barras";"0";"0";"0";"0";"0";"0";"0";"0";"11528,0";"11528,0"
"Duque de Caxias";"0";"0";"0";"0";"924624,0";"0";"0";"0";"0";"924624,0"
"Engenheiro Paulo de Frontin";"0";"0";"14071,0";"0";"0";"0";"0";"0";"0";"14071,0"
"Guapimirim";"0";"0";"0";"0";"0";"0";"0";"0";"61388,0";"61388,0"
"Iguaba Grande";"0";"28837,0";"0";"0";"0";"0";"0";"0";"0";"28837,0"
"Itaboraí";"0";"0";"0";"0";"0";"242543,0";"0";"0";"0";"242543,0"
"Itaguaí";"0";"0";"0";"0";"134819,0";"0";"0";"0";"0";"134819,0"
"Italva";"0";"0";"0";"0";"0";"0";"15299,0";"0";"0";"15299,0"
"Itaocara";"0";"0";"0";"0";"0";"0";"23222,0";"0";"0";"23222,0"
"Itaperuna";"0";"0";"0";"0";"0";"0";"103800,0";"0";"0";"103800,0"
"Itatiaia";"0";"0";"0";"32064,0";"0";"0";"0";"0";"0";"32064,0"
"Japeri";"0";"0";"0";"0";"105548,0";"0";"0";"0";"0";"105548,0"
"Laje do Muriaé";"0";"0";"0";"0";"0";"0";"7326,0";"0";"0";"7326,0"
"Macaé";"0";"0";"0";"0";"0";"0";"0";"261501,0";"0";"261501,0"
"Macuco";"0";"0";"0";"0";"0";"0";"0";"0";"5623,0";"5623,0"
"Magé";"0";"0";"0";"0";"246433,0";"0";"0";"0";"0";"246433,0"
"Mangaratiba";"45220,0";"0";"0";"0";"0";"0";"0";"0";"0";"45220,0"
"Maricá";"0";"0";"0";"0";"0";"164504,0";"0";"0";"0";"164504,0"
"Mendes";"0";"0";"18648,0";"0";"0";"0";"0";"0";"0";"18648,0"
"Mesquita";"0";"0";"0";"0";"176569,0";"0";"0";"0";"0";"176569,0"
"Miguel Pereira";"0";"0";"25581,0";"0";"0";"0";"0";"0";"0";"25581,0"
"Miracema";"0";"0";"0";"0";"0";"0";"27154,0";"0";"0";"27154,0"
"Natividade";"0";"0";"0";"0";"0";"0";"15311,0";"0";"0";"15311,0"
"Nilópolis";"0";"0";"0";"0";"162693,0";"0";"0";"0";"0";"162693,0"
"Niterói";"0";"0";"0";"0";"0";"515317,0";"0";"0";"0";"515317,0"
"Nova Friburgo";"0";"0";"0";"0";"0";"0";"0";"0";"191158,0";"191158,0"
"Nova Iguaçu";"0";"0";"0";"0";"823302,0";"0";"0";"0";"0";"823302,0"
"Paracambi";"0";"0";"52683,0";"0";"0";"0";"0";"0";"0";"52683,0"
"Paraíba do Sul";"0";"0";"44518,0";"0";"0";"0";"0";"0";"0";"44518,0"
"Paraty";"43680,0";"0";"0";"0";"0";"0";"0";"0";"0";"43680,0"
"Paty do Alferes";"0";"0";"27858,0";"0";"0";"0";"0";"0";"0";"27858,0"
"Petrópolis";"0";"0";"0";"0";"0";"0";"0";"0";"306678,0";"306678,0"
"Pinheiral";"0";"0";"0";"25364,0";"0";"0";"0";"0";"0";"25364,0"
"Piraí";"0";"0";"0";"29545,0";"0";"0";"0";"0";"0";"29545,0"
"Porciúncula";"0";"0";"0";"0";"0";"0";"18960,0";"0";"0";"18960,0"
"Porto Real";"0";"0";"0";"19974,0";"0";"0";"0";"0";"0";"19974,0"
"Quatis";"0";"0";"0";"14435,0";"0";"0";"0";"0";"0";"14435,0"
"Queimados";"0";"0";"0";"0";"151335,0";"0";"0";"0";"0";"151335,0"
"Quissamã";"0";"0";"0";"0";"0";"0";"0";"25126,0";"0";"25126,0"
"Resende";"0";"0";"0";"132312,0";"0";"0";"0";"0";"0";"132312,0"
"Rio Bonito";"0";"0";"0";"0";"0";"60573,0";"0";"0";"0";"60573,0"
"Rio Claro";"0";"0";"0";"18605,0";"0";"0";"0";"0";"0";"18605,0"
"Rio das Flores";"0";"0";"0";"9344,0";"0";"0";"0";"0";"0";"9344,0"
"Rio das Ostras";"0";"155193,0";"0";"0";"0";"0";"0";"0";"0";"155193,0"
"Rio de Janeiro";"0";"0";"0";"0";"6747815,0";"0";"0";"0";"0";"6747815,0"
"Santa Maria Madalena";"0";"0";"0";"0";"0";"0";"0";"0";"10392,0";"10392,0"
"Santo Antônio de Pádua";"0";"0";"0";"0";"0";"0";"42594,0";"0";"0";"42594,0"
"São Fidélis";"0";"0";"0";"0";"0";"0";"0";"38710,0";"0";"38710,0"
"São Francisco de Itabapoana";"0";"0";"0";"0";"0";"0";"0";"42210,0";"0";"42210,0"
"São Gonçalo";"0";"0";"0";"0";"0";"1091737,0";"0";"0";"0";"1091737,0"
"São João da Barra";"0";"0";"0";"0";"0";"0";"0";"36423,0";"0";"36423,0"
"São João de Meriti";"0";"0";"0";"0";"472906,0";"0";"0";"0";"0";"472906,0"
"São José de Ubá";"0";"0";"0";"0";"0";"0";"7206,0";"0";"0";"7206,0"
"São José do Vale do Rio Preto";"0";"0";"0";"0";"0";"0";"0";"0";"21916,0";"21916,0"
"São Pedro da Aldeia";"0";"106049,0";"0";"0";"0";"0";"0";"0";"0";"106049,0"
"São Sebastião do Alto";"0";"0";"0";"0";"0";"0";"0";"0";"9387,0";"9387,0"
"Sapucaia";"0";"0";"18249,0";"0";"0";"0";"0";"0";"0";"18249,0"
"Saquarema";"0";"90583,0";"0";"0";"0";"0";"0";"0";"0";"90583,0"
"Seropédica";"0";"0";"0";"0";"83092,0";"0";"0";"0";"0";"83092,0"
"Silva Jardim";"0";"0";"0";"0";"0";"21774,0";"0";"0";"0";"21774,0"
"Sumidouro";"0";"0";"0";"0";"0";"0";"0";"0";"15667,0";"15667,0"
"Tanguá";"0";"0";"0";"0";"0";"34610,0";"0";"0";"0";"34610,0"
"Teresópolis";"0";"0";"0";"0";"0";"0";"0";"0";"184240,0";"184240,0"
"Trajano de Moraes";"0";"0";"0";"0";"0";"0";"0";"0";"10640,0";"10640,0"
"Três Rios";"0";"0";"82142,0";"0";"0";"0";"0";"0";"0";"82142,0"
"Valença";"0";"0";"0";"76869,0";"0";"0";"0";"0";"0";"76869,0"
"Varre-Sai";"0";"0";"0";"0";"0";"0";"11106,0";"0";"0";"11106,0"
