"Ano";"Feminino  ";"Masculino ";"Total"
"2011";"45,8";"39,5";"42,8"
"2012";"42,5";"37,0";"39,9"
"2013";"42,5";"36,1";"39,5"
"2014";"40,1";"34,3";"37,3"
"2015";"39,0";"33,3";"36,3"
"2016";"40,6";"35,7";"38,2"
"2017";"40,1";"36,2";"38,2"
"2018";"41,5";"39,1";"40,3"
"2019";"41,6";"38,0";"39,9"
"2020";"43,8";"42,3";"43,1"
"2021";"43,1";"39,5";"41,4"
