titulo,sub titulo,link
Vídeo mostra que socorristas tentaram salvar congolês por 20 minutos,,https://g1.globo.com/fantastico/noticia/2022/02/06/moise-kabagambe-imagens-mostram-esforco-de-socorristas-durante-20-minutos-para-tentar-salvar-congoles-no-rio.ghtml
Gilmar Mendes liga morte à milícia e à 'invisibilidade do controle armado',"Moïse Kabagambe, que era congolês, foi espancado até a morte em quiosque na Barra da Tijuca.",https://g1.globo.com/rj/rio-de-janeiro/noticia/2022/02/06/gilmar-mendes-se-manifesta-sobre-assassinato-de-moise-raizes-no-poder-do-estado-paralelo.ghtml
EUA dizem que Rússia pode invadir Ucrânia a qualquer momento,"Americanos ressaltam, no entanto, que diplomacia segue possível. Ucrânia vê solução diplomática.",https://g1.globo.com/mundo/noticia/2022/02/06/eua-dizem-que-russia-pode-invadir-ucrania-a-qualquer-momento-mas-diplomacia-segue-possivel.ghtml
Quase 3 milhões de crianças tomaram 1ª dose da vacina contra Covid,,https://g1.globo.com/saude/coronavirus/vacinas/noticia/2022/02/06/vacinacao-contra-a-covid-151-milhoes-de-pessoas-estao-totalmente-imunizadas-quase-3-milhoes-de-criancas-tomaram-a-1a-dose.ghtml
Homem casado mata grávida com mata-leão para não assumir bebê,Suspeito é filho de pastor e confessou à polícia que atacou vítima enquanto estavam de 'conchinha'.,https://g1.globo.com/ro/rondonia/noticia/2022/02/06/suspeito-que-matou-gravida-para-nao-assumir-paternidade-diz-que-deu-mata-leao-na-vitima-enquanto-estavam-deitados-de-conchinha.ghtml
Professora viraliza ao comemorar aprovação de alunos no vestibular,"Flor Pinto dá aulas de Português no interior do Pará: 'Escola pública, amiga. Só a gente sabe'.",https://g1.globo.com/pa/para/noticia/2022/02/06/lagrimas-e-pulos-de-alegria-professora-do-interior-do-pa-viraliza-na-internet-ao-comemorar-a-aprovacao-de-alunos-no-vestibular.ghtml
Príncipe Charles agradece anúncio da mãe sobre 'rainha Camilla',Elizabeth disse em mensagem à nação que quer Camilla reconhecida como 'rainha consorte'.,https://g1.globo.com/mundo/noticia/2022/02/06/charles-agradece-elizabeth-pelo-anuncio-a-rainha-camilla-em-dia-de-homenagens-por-jubileu.ghtml
